timestamp,open,high,low,close,volume,pair
1589205300,8195.9,8207.3,8172.5,8195.9,44.71511671,BTC/EUR
1589205600,8195.9,8273.1,8195.9,8273,59.29574322,BTC/EUR
1589205900,8271,8273.8,8242.7,8246.6,68.68403965,BTC/EUR
1589206200,8246.1,8274.4,8245.8,8267.6,102.77541146,BTC/EUR
1589206500,8267.1,8267.1,8221.7,8228.7,60.0600823,BTC/EUR
1589206800,8229.4,8259.8,8229.4,8259.8,56.46068245,BTC/EUR
1589207100,8259.8,8267.8,8256.5,8264.1,36.48919142,BTC/EUR
1589207400,8264,8264.1,8228.4,8235.8,78.64067449,BTC/EUR
1589207700,8235.4,8249.6,8201.3,8225,61.68361927,BTC/EUR
1589208000,8225,8238.1,8219.5,8220.8,25.73470971,BTC/EUR
1589208300,8220.5,8258.5,8217,8241.4,182.23882727,BTC/EUR
1589208600,8241.3,8261.2,8228.3,8256.5,21.06208932,BTC/EUR
1589208900,8256.5,8259.9,8198.1,8219.2,65.43644923,BTC/EUR
1589209200,8222.9,8226.8,8173.2,8175,57.59844061,BTC/EUR
1589209500,8175,8245.3,8175,8238.2,40.5554836,BTC/EUR
1589209800,8238.2,8308.8,8236.8,8308.8,47.77770754,BTC/EUR
1589210100,8302.5,8306.2,8273.8,8273.8,84.9966909,BTC/EUR
1589210400,8278.8,8291.3,8260,8280,30.56915887,BTC/EUR
1589210700,8280.1,8300,8280,8299.9,30.45742949,BTC/EUR
1589211000,8299.9,8314.5,8290.4,8290.4,36.27750578,BTC/EUR
1589211300,8290.4,8295,8247.7,8253.1,42.14882616,BTC/EUR
1589211600,8253.1,8271.5,8251.1,8269.1,16.65406335,BTC/EUR
1589211900,8269.1,8272.6,8263,8271.3,14.71513731,BTC/EUR
1589212200,8271.6,8271.6,8227.8,8232,24.47750458,BTC/EUR
1589212500,8232,8248.4,8232,8247.2,20.91936779,BTC/EUR
1589212800,8247.2,8265.5,8205,8235.9,33.61184245,BTC/EUR
1589213100,8230.5,8270.9,8226.3,8268.2,28.36828422,BTC/EUR
1589213400,8268.2,8280.8,8255.5,8263.4,47.78161722,BTC/EUR
1589213700,8267.4,8267.4,8255,8258.1,20.9603256,BTC/EUR
1589214000,8258,8262.7,8237.1,8237.6,48.22912812,BTC/EUR
1589214300,8237.4,8256,8235.6,8248.6,28.8921607,BTC/EUR
1589214600,8248.6,8248.6,8206,8214.3,23.29925987,BTC/EUR
1589214900,8214.3,8214.3,7800,7890.6,671.96810312,BTC/EUR
1589215200,7890.6,7947.9,7798.3,7929.7,488.88118721,BTC/EUR
1589215500,7929.7,8034.2,7865.3,8000,313.56746285,BTC/EUR
1589215800,8000,8024.8,7973,7994.8,110.21014036,BTC/EUR
1589216100,7994.5,8000.2,7962.5,7989.5,135.20005756,BTC/EUR
1589216400,7990.7,8043.1,7979.4,8023.9,117.72160222,BTC/EUR
1589216700,8024,8036,7948.5,7987.4,114.78569562,BTC/EUR
1589217000,7989.5,7991.3,7923.1,7986.1,80.93579632,BTC/EUR
1589217300,7983.6,7988.4,7950,7950.1,30.54828308,BTC/EUR
1589217600,7950,7956.3,7880,7927.8,135.18103918,BTC/EUR
1589217900,7929.5,7973.2,7929.5,7945.7,32.98493476,BTC/EUR
1589218200,7945.7,7966.4,7937.2,7955.5,23.99184061,BTC/EUR
1589218500,7963.2,7997.4,7950,7977.5,44.59283518,BTC/EUR
1589218800,7980.1,7988.6,7928.3,7949.5,67.28505734,BTC/EUR
1589219100,7949.5,7988.4,7927.7,7988.4,227.05816594,BTC/EUR
1589219400,7988.4,7988.4,7924,7929,122.22180269,BTC/EUR
1589219700,7929.2,7936.2,7840,7889.6,174.90631499,BTC/EUR
1589220000,7893.8,7920.6,7815.3,7898,123.00286585,BTC/EUR
1589220300,7896.2,7899,7840.6,7854.3,87.67205402,BTC/EUR
1589220600,7849.7,7851.5,7686.2,7785.5,437.41086551,BTC/EUR
1589220900,7784.7,7797.9,7592.3,7685,391.39035941,BTC/EUR
1589221200,7684.9,7770.2,7671.1,7753.5,148.78935087,BTC/EUR
1589221500,7753.5,7895.7,7740,7859.6,288.95202572,BTC/EUR
1589221800,7859.6,7910.3,7814.9,7823.9,113.40941287,BTC/EUR
1589222100,7828.1,7869.3,7766,7842.1,226.36519234,BTC/EUR
1589222400,7842.3,7852.1,7770,7794.9,58.02662786,BTC/EUR
1589222700,7794.9,7849.5,7794.9,7849.5,60.55565364,BTC/EUR
1589223000,7844.9,7895.5,7819.6,7882,95.90354641,BTC/EUR
1589223300,7881.7,8029,7880,7980,199.56760876,BTC/EUR
1589223600,7976,7976.3,7815.5,7846.5,128.92461615,BTC/EUR
1589223900,7846.5,7865.9,7811.3,7864.8,123.98948439,BTC/EUR
1589224200,7864.8,7882.7,7828.5,7855.3,57.47238924,BTC/EUR
1589224500,7855.2,7919.6,7835.3,7912.4,89.427749,BTC/EUR
1589224800,7914.9,7915,7870.1,7873.1,49.20766129,BTC/EUR
1589225100,7882.8,7947.9,7882.8,7931.5,81.93795443,BTC/EUR
1589225400,7940,7940,7825,7871.6,163.98950711,BTC/EUR
1589225700,7873.2,7911.4,7855.1,7896.8,64.0602322,BTC/EUR
1589226000,7896.8,7920.7,7871.1,7897.8,57.07644198,BTC/EUR
1589226300,7903.3,7930,7896.3,7920.2,26.26425995,BTC/EUR
1589226600,7920.2,8122.8,7920.2,8038.8,279.41611328,BTC/EUR
1589226900,8033,8110,8024,8103.1,158.87149562,BTC/EUR
1589227200,8100.9,8150,8029.3,8076.5,93.87997044,BTC/EUR
1589227500,8076.5,8105.2,8066.2,8083.7,44.85475904,BTC/EUR
1589227800,8089.8,8104.1,8055.1,8070.8,40.11386188,BTC/EUR
1589228100,8070.8,8077.8,8018.9,8060.2,49.14564742,BTC/EUR
1589228400,8069.6,8070,8037.2,8040.8,24.7673503,BTC/EUR
1589228700,8040,8040,7968.9,8002.8,90.93841868,BTC/EUR
1589229000,8002.7,8015.9,7948.6,7995.7,54.35889267,BTC/EUR
1589229300,8000,8045.5,7990.1,8032.8,44.46576923,BTC/EUR
1589229600,8032.6,8047.6,8009.9,8024.1,32.09965094,BTC/EUR
1589229900,8024.3,8029.3,7991.4,8013,46.56845284,BTC/EUR
1589230200,8012.9,8035.2,8010.8,8025.3,11.37547465,BTC/EUR
1589230500,8025.3,8030.7,7990.1,8005.6,11.49595713,BTC/EUR
1589230800,8005.6,8025.4,8004.4,8024.4,14.08475799,BTC/EUR
1589231100,8024.4,8059.4,8024.4,8040,29.19469128,BTC/EUR
1589231400,8042.1,8042.2,8025.6,8035.4,14.62788471,BTC/EUR
1589231700,8035.4,8039.2,7953.5,7953.5,41.59489036,BTC/EUR
1589232000,7961,7984.8,7953.3,7978,19.15304269,BTC/EUR
1589232300,7978,8018.5,7978,8006,14.30460273,BTC/EUR
1589232600,8006,8008.1,7977.2,7986.5,12.70394107,BTC/EUR
1589232900,7986.6,7988.3,7950.2,7950.2,23.20859912,BTC/EUR
1589233200,7959.6,7979.6,7927.1,7936.7,22.35932445,BTC/EUR
1589233500,7934.9,7953.6,7865.2,7870.6,72.88569676,BTC/EUR
1589233800,7874.8,7966.3,7856.1,7944.4,34.62308781,BTC/EUR
1589234100,7940.4,7956.7,7928.3,7955.2,27.29134159,BTC/EUR
1589234400,7956.6,7994.2,7955,7989.5,32.95170938,BTC/EUR
1589234700,7989.5,7989.5,7977.1,7980,5.59940802,BTC/EUR
1589235000,7979.2,7994.7,7978.8,7980.3,20.60400668,BTC/EUR
1589235300,7980.3,7983.3,7962,7968.8,30.01824045,BTC/EUR
1589149200,8729.1,8743.6,8727.4,8737.3,13.51416955,BTC/USD
1589149500,8737.4,8743.6,8713.8,8720.2,12.23198246,BTC/USD
1589149800,8720.2,8733.8,8720.2,8731.4,9.09603818,BTC/USD
1589150100,8731.4,8734.7,8727.3,8733,6.26401453,BTC/USD
1589150400,8733,8743.6,8731.5,8743,4.39475883,BTC/USD
1589150700,8743,8798.2,8743,8770,121.54979022,BTC/USD
1589151000,8770,8772.1,8752.6,8771.9,11.14615719,BTC/USD
1589151300,8771.9,8783.2,8770.8,8780.4,12.82609349,BTC/USD
1589151600,8780.4,8835,8780.4,8805.1,81.09223895,BTC/USD
1589151900,8805.1,8813.8,8750,8750,108.76346813,BTC/USD
1589152200,8750,8762.2,8710,8744.2,52.50118662,BTC/USD
1589152500,8744.2,8758.3,8731.8,8754.4,10.60046993,BTC/USD
1589152800,8750.8,8755.2,8710,8710,15.42086245,BTC/USD
1589153100,8710,8710,8640,8664.6,178.81807925,BTC/USD
1589153400,8660.1,8660.1,8575,8630.3,153.53178241,BTC/USD
1589153700,8630.4,8672.6,8627,8661.9,53.69127715,BTC/USD
1589154000,8661.9,8685,8653.6,8661,31.86112304,BTC/USD
1589154300,8661,8777.8,8654.1,8761.8,130.99750489,BTC/USD
1589154600,8761.8,8771.7,8740.7,8745.3,14.02829301,BTC/USD
1589154900,8745.3,8768.8,8716.5,8716.5,61.51481338,BTC/USD
1589155200,8724.9,8791.6,8724,8761.8,38.9750058,BTC/USD
1589155500,8762,8772.8,8748.3,8755,14.05661079,BTC/USD
1589155800,8755,8766.6,8753.5,8753.5,13.26462094,BTC/USD
1589156100,8753.5,8795,8753.5,8775.4,45.16611574,BTC/USD
1589156400,8771.9,8796.8,8771.9,8796.8,10.07917021,BTC/USD
1589156700,8794,8800,8769.9,8787.8,12.07393757,BTC/USD
1589157000,8788.2,8805,8782.9,8783.2,24.15372214,BTC/USD
1589157300,8794.4,8799.2,8770.1,8789.8,11.87740795,BTC/USD
1589157600,8789.8,8792.9,8757,8761.8,4.27583417,BTC/USD
1589157900,8761.7,8761.8,8710.7,8726.4,66.90296824,BTC/USD
1589158200,8726.4,8750.7,8726.4,8748.5,4.01324642,BTC/USD
1589158500,8748.5,8772.6,8748.5,8769.9,5.52612797,BTC/USD
1589158800,8770,8780.6,8755.5,8767.3,10.12339221,BTC/USD
1589159100,8767.3,8768.6,8735.8,8735.8,3.57619259,BTC/USD
1589159400,8735.8,8745.2,8735.8,8745.2,6.31500704,BTC/USD
1589159700,8745.2,8755.4,8706.2,8723.6,10.45685722,BTC/USD
1589160000,8723.6,8729.2,8690.6,8699.6,22.84640608,BTC/USD
1589160300,8699.6,8717.8,8699.6,8716.5,19.87458238,BTC/USD
